,TEAM,NAME
243,Toronto Raptors,OG ANUNOBY
244,Toronto Raptors,SERGE IBAKA
245,Toronto Raptors,JAKOB POELTL
246,Toronto Raptors,FRED VANVLEET
247,Toronto Raptors,PASCAL SIAKAM
248,Toronto Raptors,DELON WRIGHT
249,Toronto Raptors,NORMAN POWELL
250,Toronto Raptors,LUCAS NOGUEIRA
251,San Antonio Spurs,DANNY GREEN
252,San Antonio Spurs,DEJOUNTE MURRAY
253,San Antonio Spurs,KYLE ANDERSON
254,San Antonio Spurs,LAMARCUS ALDRIDGE
255,San Antonio Spurs,PATTY MILLS
256,San Antonio Spurs,PAU GASOL
257,San Antonio Spurs,RUDY GAY
258,San Antonio Spurs,TONY PARKER
259,San Antonio Spurs,MANU GINOBILI
260,San Antonio Spurs,BRYN FORBES
261,San Antonio Spurs,BRANDON PAUL
262,San Antonio Spurs,DAVIS BERTANS
263,Phoenix Suns,ELFRID PAYTON
264,Phoenix Suns,TJ WARREN
265,Phoenix Suns,JOSH JACKSON
266,Phoenix Suns,MARQUESE CHRISS
267,Brooklyn Nets,JAHLIL OKAFOR
268,Golden State Warriors,OMRI CASSPI
269,Philadelphia 76ers,DARIO SARIC
270,Philadelphia 76ers,JOEL EMBIID
271,Golden State Warriors,CHRIS BOUCHER
272,Brooklyn Nets,TIMOFEY MOZGOV
273,Minnesota Timberwolves,ANDREW WIGGINS
274,Minnesota Timberwolves,JEFF TEAGUE
275,Minnesota Timberwolves,KARL-ANTHONY TOWNS
276,Minnesota Timberwolves,NEMANJA BJELICA
277,Minnesota Timberwolves,TAJ GIBSON
278,Minnesota Timberwolves,JAMAL CRAWFORD
279,Minnesota Timberwolves,GORGUI DIENG
280,Minnesota Timberwolves,TYUS JONES
281,Minnesota Timberwolves,DERRICK ROSE
282,Portland Trail Blazers,AL FAROUQ AMINU
283,Portland Trail Blazers,CJ MCCOLLUM
284,Portland Trail Blazers,DAMIAN LILLARD
285,Portland Trail Blazers,JUSUF NURKIC
286,Portland Trail Blazers,MAURICE HARKLESS
287,Portland Trail Blazers,EVAN TURNER
288,Portland Trail Blazers,ED DAVIS
289,Portland Trail Blazers,ZACH COLLINS
290,Portland Trail Blazers,PAT CONNAUGHTON
291,Portland Trail Blazers,SHABAZZ NAPIER
292,Portland Trail Blazers,CALEB SWANIGAN
293,Charlotte Hornets,DWIGHT HOWARD
294,Charlotte Hornets,KEMBA WALKER
295,Charlotte Hornets,MARVIN WILLIAMS
296,Charlotte Hornets,MICHAEL KIDD-GILCHRIST
297,Charlotte Hornets,NICOLAS BATUM
298,Charlotte Hornets,JEREMY LAMB
299,Charlotte Hornets,FRANK KAMINSKY
300,Charlotte Hornets,MALIK MONK
301,Charlotte Hornets,CODY ZELLER
302,Charlotte Hornets,TREVEON GRAHAM
303,Charlotte Hornets,DWAYNE BACON
304,Charlotte Hornets,JULYAN STONE
305,Charlotte Hornets,WILLY HERNANGOMEZ
306,Los Angeles Clippers,AUSTIN RIVERS
307,Los Angeles Clippers,DEANDRE JORDAN
308,Los Angeles Clippers,MILOS TEODOSIC
