TEAM,HOME_TEAM
BH,Bnei Rav-Bariach Herzliya
EIL,Hapoel Fattal Eilat
GAL,Hapoel Gilboa Galil
HAI,Maccabi Hunter Haifa
Hap,Hapoel Jerusalem
HAP,Hapoel SP Tel Aviv
HOL,Hapoel Unet Holon
INZ,Ironi Hai Motors Nes Ziona
Mac,Maccabi Ashdod/Be'er Tuvia
NAH,Ironi Nahariya
RSH,Maccabi ILAND.TV Rishon Lezion
TEL,Maccabi Fox Tel Aviv
