,TEAM,NAME
212,Maccabi Fox Tel Aviv,JAKE COHEN
213,Maccabi Fox Tel Aviv,NORRIS COLE
214,Maccabi Fox Tel Aviv,DESHAUN THOMAS
215,Maccabi Fox Tel Aviv,YOVEL ZOOSMAN
216,Maccabi Fox Tel Aviv,ITAY SEGEV
217,Ironi Hai Motors Nes Ziona,EVAN YATES
218,Maccabi Hunter Haifa,ANGEL RODRIGUEZ
219,Maccabi Hunter Haifa,REGGIE BUCKNER
220,Maccabi Hunter Haifa,ZACH GRAHAM
221,Hapoel Gilboa Galil,D'ANGELO HARRISON
222,Hapoel Jerusalem,RAM ELIAS-POUR
223,Hapoel Jerusalem,BEN CARTER
224,Hapoel Jerusalem,MICHAEL MOSHKOVITZ
225,Maccabi Ashdod/Be'er Tuvia,GIL AMITAY
226,Maccabi Fox Tel Aviv,DEANDRE KANE
227,Hapoel Fattal Eilat,DERWIN KITCHEN
228,Ironi Nahariya,DENZEL LIVINGSTON
229,Maccabi ILAND.TV Rishon Lezion,JASON SIGGERS
230,Hapoel SP Tel Aviv,NOAM HASON
231,Maccabi Ashdod/Be'er Tuvia,JIMMY MCDONNELL
232,Maccabi Fox Tel Aviv,PIERRE JACKSON
233,Hapoel Unet Holon,COREY WALDEN
234,Hapoel Jerusalem,STRATOS PERPEROGLOU
235,Hapoel SP Tel Aviv,GAL SHTERENBERG
236,Hapoel Gilboa Galil,J'COVAN BROWN
237,Ironi Hai Motors Nes Ziona,NAOR SHARON
238,Ironi Nahariya,TOMER COHEN
239,Ironi Nahariya,NERI HARRISON
240,Maccabi Fox Tel Aviv,KARAM MASHOUR
241,Bnei Rav-Bariach Herzliya,AMIT ERLICH
242,Maccabi Fox Tel Aviv,ARTSIOM PARAKHOUSKI
243,Hapoel Unet Holon,GLEN RICE JR.
244,Ironi Hai Motors Nes Ziona,ALEXEY CHUBREVICH
245,Ironi Hai Motors Nes Ziona,GERALD LEE
246,Ironi Hai Motors Nes Ziona,SEK HENRY
247,Ironi Hai Motors Nes Ziona,TRAVIS WARECH
248,Ironi Hai Motors Nes Ziona,CAMERON LONG
249,Ironi Hai Motors Nes Ziona,NIMROD LEVI
250,Ironi Hai Motors Nes Ziona,GIL AMITAY
251,Ironi Hai Motors Nes Ziona,ADAM ARIEL
252,Ironi Hai Motors Nes Ziona,NETANEL ARTZI
253,Ironi Hai Motors Nes Ziona,ADAM HONIG
254,Hapoel SP Tel Aviv,GEREL MCNEAL
255,Ironi Nahariya,COREY WEBSTER
256,Ironi Hai Motors Nes Ziona,GOLAN GUTT
257,Ironi Hai Motors Nes Ziona,TAL-MICHAEL DUNNE
258,Hapoel SP Tel Aviv,JEREL MCNEAL
259,Maccabi ILAND.TV Rishon Lezion,PAUL DELANEY
260,Maccabi Hunter Haifa,GUNI ISRAELI
261,Maccabi Hunter Haifa,FREDERIC BOURDILLON
262,Ironi Nahariya,YARIV AMIRAM
263,Hapoel Jerusalem,YOGEV OHAYON
264,Maccabi ILAND.TV Rishon Lezion,ODED BRANDWEIN
265,Maccabi ILAND.TV Rishon Lezion,NIV BALOUL
266,Hapoel Gilboa Galil,EZEQUIEL SKVERER
267,Hapoel Gilboa Galil,CLEVELAND MELVIN
268,Hapoel Fattal Eilat,AMIT EBO
269,Ironi Nahariya,AMIT SHITRIT
270,Ironi Hai Motors Nes Ziona,JARON JOHNSON
271,Hapoel Gilboa Galil,YOTAM HANOCHI
272,Hapoel Jerusalem,ALEN OMIC
273,Hapoel Jerusalem,IGOR MAYOR
274,Maccabi ILAND.TV Rishon Lezion,ROM CORNELIUS
275,Maccabi ILAND.TV Rishon Lezion,TYLER DAWSON
276,Bnei Rav-Bariach Herzliya,MICHAEL EFEVBERHA
277,Hapoel Gilboa Galil,TRISTAN SPURLOCK 
278,Hapoel Fattal Eilat,MIKE ROSARIO
279,Hapoel Fattal Eilat,DANIEL REUVEN
280,Maccabi Hunter Haifa,LUKE MARTINEZ
281,Maccabi Hunter Haifa,GAL BARUCH
282,Maccabi Ashdod/Be'er Tuvia,DAVID LAURY
283,Maccabi Ashdod/Be'er Tuvia,TERRENCE WATSON
284,Bnei Rav-Bariach Herzliya,ALEX ROSENBERG
285,Bnei Rav-Bariach Herzliya,XAVIER THAMES
286,Bnei Rav-Bariach Herzliya,NOAM AVIVI
287,Hapoel Fattal Eilat,DAMION JAMES
288,Hapoel Jerusalem,AUSTIN DAYE
289,Hapoel SP Tel Aviv,JEFF ALLEN
290,Hapoel SP Tel Aviv,EYAL SHULMAN
291,Bnei Rav-Bariach Herzliya,D.J. SHARP
292,Hapoel Gilboa Galil,TYLER STONE
293,Hapoel Fattal Eilat,ALANDO TUCKER
294,Hapoel Unet Holon,×˜ ×–×S_
295,Maccabi Ashdod/Be'er Tuvia,GUNI ISRAELI
296,Bnei Rav-Bariach Herzliya,HALIL KANACEVIC
297,Maccabi Hunter Haifa,WILLIAM GRAVES
298,Hapoel SP Tel Aviv,TZUF BEN MOSHE
299,Ironi Nahariya,OUSMANE DRAME
300,Hapoel Unet Holon,JONATHAN MOR
301,Hapoel Unet Holon,JABRIL TRAWICK
302,Maccabi Hunter Haifa,NETANEL ARTZI
303,Maccabi ILAND.TV Rishon Lezion,OR CORNELIUS
304,Maccabi Ashdod/Be'er Tuvia,OMER BIRNFELD
305,Ironi Hai Motors Nes Ziona,JERMAINE BEAL
306,Hapoel Jerusalem,CURTIS JERRELLS
307,Hapoel Fattal Eilat,DENZEL BOWLES
308,Ironi Nahariya,HAKIM WARRICK
309,Ironi Hai Motors Nes Ziona,JOJO FALLAS
310,Ironi Nahariya,CHRIS SMITH
311,Bnei Rav-Bariach Herzliya,YONATAN MOR
312,Maccabi Fox Tel Aviv,DENI AVDIJA
